ingredient,category,risk_level,health_effect
vitamin a palmitate],unknown,unknown,unknown
(maltodextrin),unknown,unknown,unknown
glycerol,unknown,unknown,unknown
magnesium oxide,unknown,unknown,unknown
riboflavin {vitamin b2},unknown,unknown,unknown
vitamin a palmitate.,unknown,unknown,unknown
soy oil,unknown,unknown,unknown
allspice,unknown,unknown,unknown
natural fla,unknown,unknown,unknown
kakaopulver (nur sorte schoko),unknown,unknown,unknown
oat bran,unknown,unknown,unknown
corn oil and/or palm oil) sugar,unknown,unknown,unknown
beta-carotene.,unknown,unknown,unknown
parsely,unknown,unknown,unknown
palm),unknown,unknown,unknown
non dairy creamer,unknown,unknown,unknown
sels de fonte (e331,unknown,unknown,unknown
spinach*,unknown,unknown,unknown
low moisture mozzarella cheese (pasteurized whole _milk_,unknown,unknown,unknown
half and half (milk and cr,unknown,unknown,unknown
natural and artificial fla,unknown,unknown,unknown
calcium,unknown,unknown,unknown
sodium sulfate {a preservative},unknown,unknown,unknown
parmesan cheese powder (parmesan cheese [pasteurized milk,unknown,unknown,unknown
peanut and/or cottonseed oil,unknown,unknown,unknown
margarine (liquid and partially hydrogenated soybean oil,unknown,unknown,unknown
flavouring,unknown,unknown,unknown
constarch,unknown,unknown,unknown
organic black sesame seeds,unknown,unknown,unknown
puffed rice (12%),unknown,unknown,unknown
natural vanilla).,unknown,unknown,unknown
shortening (palm oil,unknown,unknown,unknown
milk protein concentrate,unknown,unknown,unknown
aspartame. vitamin and minerals: calcium carbonate,unknown,unknown,unknown
red raspberry juice concentrate,unknown,unknown,unknown
vnillin: an artificial flavor.,unknown,unknown,unknown
coco,unknown,unknown,unknown
vegetable oil coconut,unknown,unknown,unknown
and spices.,unknown,unknown,unknown
dehydrated parsley,unknown,unknown,unknown
maltitol,unknown,unknown,unknown
e503,unknown,unknown,unknown
salt and enzymes) and basil.,unknown,unknown,unknown
filtered water,unknown,unknown,unknown
propylene glycol],unknown,unknown,unknown
hydrogenated soybean oil),unknown,unknown,unknown
palm oil,food,medium,cholesterol
caramel.,unknown,unknown,unknown
natural smoke flavor,unknown,unknown,unknown
vegetable oil (palm kernel and palm oils),unknown,unknown,unknown
breadcrumbs,unknown,unknown,unknown
orange 4,unknown,unknown,unknown
thé noir de chine,unknown,unknown,unknown
100 % extra virgin olive 0% soy lecithin,unknown,unknown,unknown
unbleached enriched wheat flour (wheat flour,unknown,unknown,unknown
poivre,unknown,unknown,unknown
soy lecithin and natural vanilla flavor).,unknown,unknown,unknown
roasted peanuts (peanuts,unknown,unknown,unknown
organic whole grain steel cut oats,unknown,unknown,unknown
organic tomato puree,unknown,unknown,unknown
dark chocolate chips (14%) (sugar,unknown,unknown,unknown
extrait de levure,unknown,unknown,unknown
coconut water,unknown,unknown,unknown
gélifiant : pectine,unknown,unknown,unknown
glucose syrup*,unknown,unknown,unknown
artificial flavor],unknown,unknown,unknown
artificial flavo,unknown,unknown,unknown
milk chocolate [sugar,unknown,unknown,unknown
cranberry juice from concentrate,unknown,unknown,unknown
rondnoir ingredients: semisweet chocolate (sugar,unknown,unknown,unknown
natural yeast,unknown,unknown,unknown
annatto and caramel (for color),unknown,unknown,unknown
organic onion powder,unknown,unknown,unknown
corn s,unknown,unknown,unknown
virginia peanuts,unknown,unknown,unknown
low fat cocoa,unknown,unknown,unknown
e475.flavoring.dried glucose syrup.dried skimmed milk.stabiliser. xanthan gum.salt,unknown,unknown,unknown
lactic acid*,unknown,unknown,unknown
filling: organic kale,unknown,unknown,unknown
oeuf,unknown,unknown,unknown
sugar syrup,unknown,unknown,unknown
whey*,unknown,unknown,unknown
hibiscus flowers,unknown,unknown,unknown
organic minced onion,unknown,unknown,unknown
acid: citric acid; flavourings,unknown,unknown,unknown
arôme naturel,unknown,unknown,unknown
e503 • salt • vanilla flavouring. dark chocolate contains cocoa solids 42% minimum. milk chocolate contains cocoa solids 29% minimum,unknown,unknown,unknown
chocolate soya lecithin (emulsifier),unknown,unknown,unknown
red bell pepper powder,unknown,unknown,unknown
vanillin (artificial flavoring)),unknown,unknown,unknown
organic sweet brown rice,unknown,unknown,unknown
white beans,unknown,unknown,unknown
wheat flou,unknown,unknown,unknown
lactic acid),unknown,unknown,unknown
pure water,unknown,unknown,unknown
sauce: water,unknown,unknown,unknown
natural flavor. fudge cups - sugar,unknown,unknown,unknown
chili pepper flakes,unknown,unknown,unknown
sodium acid pyrophosphate,unknown,unknown,unknown
whole soy flour,unknown,unknown,unknown
methylcellulose),unknown,unknown,unknown
and certified confectioners glaze (gum arabic,unknown,unknown,unknown
low fat cocoa powder (processed with alkali),unknown,unknown,unknown
yest extract,unknown,unknown,unknown
soy lecithin and natural vanilla f,unknown,unknown,unknown
niacin reduced iron,unknown,unknown,unknown
organic wheat flour,unknown,unknown,unknown
pecans,unknown,unknown,unknown
eggs.,unknown,unknown,unknown
red wine vinegar,unknown,unknown,unknown
beef blood,unknown,unknown,unknown
riboflavin and folic acid).,unknown,unknown,unknown
barley's malt extract,unknown,unknown,unknown
organic brown basmati rice,unknown,unknown,unknown
yellow 6 lake,unknown,unknown,unknown
cracker: wheat flour,unknown,unknown,unknown
100% organic apple juice.,unknown,unknown,unknown
nonfat milk),unknown,unknown,unknown
yeas,unknown,unknown,unknown
and guar gums),unknown,unknown,unknown
glukosesirup,unknown,unknown,unknown
unsalted butter,unknown,unknown,unknown
chicken fat*,unknown,unknown,unknown
emulsifier: lecithins.,unknown,unknown,unknown
superfino arborio rice,unknown,unknown,unknown
bewaren in een luchtdichte verpakking.,unknown,unknown,unknown
propylene glycol monostearate,unknown,unknown,unknown
potassium sorbate and potassium sulfite (preservatives).,unknown,unknown,unknown
powdered cellulose,unknown,unknown,unknown
locust bean gum,unknown,unknown,unknown
arôme. *% exprimés sur le fourrage équivalent respectivement à 3.4% et 0.4% sur l’ensemble du produit.,unknown,unknown,unknown
sweetened dried cranberries (5%) (cranberries,unknown,unknown,unknown
vegetable shortening (partially hydrogenated soybean and cottonseed oils,unknown,unknown,unknown
cocoa butter,unknown,unknown,unknown
vinegar and salt.,unknown,unknown,unknown
sugar flavor,unknown,unknown,unknown
un-refined sugar,unknown,unknown,unknown
dried red chile peppers.,unknown,unknown,unknown
swiss cheese (cultured part skim milk,unknown,unknown,unknown
enriched bleached flour (wheat flour,unknown,unknown,unknown
annatto,unknown,unknown,unknown
cashewnuts 45%,unknown,unknown,unknown
vermicelli (green mung beans,unknown,unknown,unknown
balsamic vinegar of modena (wine vinegar,unknown,unknown,unknown
black sesame seed,unknown,unknown,unknown
and folic acid.,unknown,unknown,unknown
colza et tournesol),unknown,unknown,unknown
malic acid),unknown,unknown,unknown
whey (milk),unknown,unknown,unknown
vitamin a palpitate],unknown,unknown,unknown
de la pâte de cacao,unknown,unknown,unknown
banana puree,unknown,unknown,unknown
vegetable fat (palm),unknown,unknown,unknown
lowfat cocoa powder,unknown,unknown,unknown
zie de vetgedrukte ingrediënten. niet geschikt voor mensen met een : pinda- of notenallergie vanwege de productiemethoden. bewaaradvies ten minste houdbaar tot: zie zijkant verpakking. bij voorkeur koel en droog bewaren. eenmaal geopend,unknown,unknown,unknown
dont sucres/waarvan suikers 9.4g ? fibres à)mentairesnezels 0.6g ? protéines/ 2.3g ? sel/zout 0.05g. 5)65. looml 25(31) per 500ml 125(1 : = valeurs nutritionnelles a référence/ vri dagelijkse referentie-lnnanne best before,unknown,unknown,unknown
dried whole milk,unknown,unknown,unknown
sodium diacetate,unknown,unknown,unknown
malted milk balls (corn syrup,unknown,unknown,unknown
calcium carrageenan,unknown,unknown,unknown
expeller pressed vegetable oil (soybean and/or canola),unknown,unknown,unknown
ground vanilla bean,unknown,unknown,unknown
precooked lentils,unknown,unknown,unknown
barley malt powd,unknown,unknown,unknown
contains 2% or less of chili pepper,unknown,unknown,unknown
org amaranth,unknown,unknown,unknown
sweetened condensed milk (from whole milk) 18%,unknown,unknown,unknown
korean inspired seasoning {sugar,unknown,unknown,unknown
sunflower kernels,unknown,unknown,unknown
confectioner's glaze.,unknown,unknown,unknown
colours: annatto,unknown,unknown,unknown
carrot*,unknown,unknown,unknown
sodium bicarbonate and ammonium bicarbonate as leavening agents,unknown,unknown,unknown
extractive of dill,unknown,unknown,unknown
vegetable fats (palm,unknown,unknown,unknown
vitamin e (as d-alpha-tocopheryl acetate),unknown,unknown,unknown
flocons d'_avoine_ (contiennent _gluten_) (12 %),unknown,unknown,unknown
milk skim milk,unknown,unknown,unknown
86 % (sucre cristallisé,unknown,unknown,unknown
