ingredients,label
"mineral oil,carbon dioxide",low
"sodium,formaldehyde",low
"parabens,acesulfame k",low
"carbon dioxide,sodium laureth sulfate,benzene,phosphoric acid,phthalates",high
"glycerin,sodium benzoate,phosphoric acid,nitrites",medium
"monosodium glutamate,palm oil,alcohol,nitrites,milk",high
"high fructose corn syrup,acetic acid,citric acid,trans fat,wheat flour,synthetic fragrance",high
"titanium dioxide,sugar",low
"acetic acid,coal tar,sucralose,titanium dioxide,oxybenzone,vegetable oil",high
"milk,nitrites,oxybenzone,artificial flavour,artificial color,saturated fat",high
"propylparaben,saturated fat,sugar,glucose",high
"palm oil,glycerin,coal tar",medium
"fructose,wheat flour,synthetic fragrance",medium
"benzene,sodium,citric acid,sunset yellow,trans fat",high
"alcohol,sunset yellow,acetic acid,oxybenzone,formaldehyde,cocoa",high
"salt,sodium benzoate,sodium lauryl sulfate,tartrazine",high
"refined oil,sodium benzoate,citric acid,sunset yellow",medium
"msg,refined oil,potassium sorbate,aspartame,synthetic fragrance,fructose",high
"sunset yellow,sucralose,sulfites,parabens,caffeine",high
"avobenzone,fragrance,hydrogenated oil,glycerin",medium
"methylparaben,parabens,artificial color,glucose syrup,mineral oil,artificial flavour",high
"acetic acid,sodium lauryl sulfate,artificial flavour,methylparaben,caramel color",medium
"caramel color,propylparaben,titanium dioxide,high fructose corn syrup",medium
"sodium,sulfites",low
"milk,high fructose corn syrup",low
"glycerin,high fructose corn syrup,acetic acid,tartrazine",medium
"salicylic acid,sodium benzoate,sucralose,palm oil",medium
"zinc oxide,glucose syrup,sodium lauryl sulfate,caramel color,alcohol",high
"sulfites,sodium benzoate,citric acid,salicylic acid",medium
"formaldehyde,benzene",medium
"salt,monosodium glutamate,hydrogenated oil,carbon dioxide,wheat flour,benzene",high
"caramel color,aspartame",low
"water,phthalates,glycerin,synthetic fragrance",medium
"refined oil,msg,trans fat,sodium,octinoxate,aspartame",high
"salt,glucose,mineral oil,parabens,propylparaben,milk",high
"sunset yellow,coal tar,propylparaben,sodium lauryl sulfate,salicylic acid,octinoxate",high
"refined oil,nitrites,benzene",medium
"monosodium glutamate,glycerin,artificial flavour,citric acid,sunset yellow",medium
"parabens,formaldehyde",low
"aspartame,tartrazine,water,sugar,monosodium glutamate",high
"sodium,octinoxate,caramel color,tartrazine,formaldehyde,saturated fat",high
"glucose syrup,palm oil,sunset yellow,titanium dioxide",medium
"aspartame,hydrogenated oil,avobenzone",medium
"tartrazine,phosphoric acid,high fructose corn syrup,coal tar,caffeine",high
"avobenzone,high fructose corn syrup,salicylic acid,sodium lauryl sulfate,glycerin,methylparaben",high
"caffeine,phosphoric acid,alcohol,nitrates,saturated fat",high
"refined oil,sunset yellow,phosphoric acid",medium
"trans fat,benzene,formaldehyde,flavour,phosphoric acid",high
"tartrazine,maltose,flavour,caffeine,sls,caramel color",high
"wheat flour,milk,glucose syrup,sls",medium
"formaldehyde,nitrates,salicylic acid,milk,sugar,citric acid",high
"acetic acid,coal tar,sucralose,fructose,salt",high
"tartrazine,caramel color,coal tar,nitrates",high
"caramel color,glycerin,refined oil,msg,hyaluronic acid,high fructose corn syrup",high
"phosphoric acid,glycerin,tartrazine,benzene",medium
"potassium sorbate,artificial color",low
"mineral oil,saturated fat",low
"phosphoric acid,phthalates,octinoxate,flavour",medium
"potassium sorbate,mineral oil,trans fat,sls,synthetic fragrance",high
"maltose,nitrites,alcohol,high fructose corn syrup",high
"synthetic fragrance,nitrites,nitrates",medium
"sodium lauryl sulfate,palm oil,tartrazine,flavour,octinoxate,benzene",high
"salicylic acid,methylparaben,synthetic fragrance",medium
"fragrance,sodium laureth sulfate",low
"maltose,oats,caffeine,sodium benzoate",medium
"phosphoric acid,artificial color,acesulfame k",medium
"oxybenzone,sls",low
"parabens,flavour,artificial flavour",low
"benzene,zinc oxide",low
"benzene,taurine,mineral oil",medium
"oats,carbon dioxide,flavour,palm oil,artificial flavour,methylparaben",medium
"taurine,high fructose corn syrup,octinoxate",medium
"propylparaben,tartrazine,sugar,nitrites",high
"oxybenzone,monosodium glutamate,artificial color,artificial flavour,sodium,synthetic fragrance",high
"glucose,hyaluronic acid,glucose syrup,saturated fat",medium
"nitrates,sodium laureth sulfate,mineral oil,cocoa,hydrogenated oil",high
"oats,nitrites,artificial flavour",medium
"glucose syrup,titanium dioxide,sodium benzoate,caffeine",medium
"titanium dioxide,propylparaben",low
"sugar,citric acid,flavour,salicylic acid,hyaluronic acid,benzene",high
"glucose,high fructose corn syrup,glycerin,citric acid,fragrance",high
"parabens,phthalates,sodium lauryl sulfate,caramel color",medium
"high fructose corn syrup,mineral oil,hyaluronic acid",medium
"trans fat,coal tar",medium
"zinc oxide,sodium benzoate,tartrazine,mineral oil,nitrites",high
"caffeine,sugar,synthetic fragrance,refined oil,water",high
"zinc oxide,maltose,sulfites,sugar,milk,sodium laureth sulfate",high
"fructose,sls",low
"sodium,acesulfame k,glucose,carbon dioxide",medium
"hydrogenated oil,zinc oxide,methylparaben,msg,tartrazine,trans fat",high
"hyaluronic acid,sodium,carbon dioxide,hydrogenated oil,caffeine,glucose syrup",high
"propylparaben,sodium,artificial color",medium
"flavour,artificial color,sulfites,tartrazine,glycerin,acetic acid",high
"glycerin,water,sucralose,vegetable oil",medium
"caramel color,oxybenzone,acetic acid,sucralose,salt,milk",high
"sls,cocoa,phosphoric acid,salicylic acid",medium
"maltose,mineral oil,sunset yellow,carbon dioxide,oxybenzone,sodium lauryl sulfate",high
"caramel color,carbon dioxide,salt,citric acid,methylparaben",medium
"zinc oxide,sodium,flavour,salt,high fructose corn syrup",medium
"fragrance,sodium lauryl sulfate",low
"artificial color,wheat flour,sodium benzoate,glycerin,alcohol",high
"artificial color,glucose syrup,milk,titanium dioxide,salicylic acid",medium
"benzene,hydrogenated oil,water,sodium benzoate,salt,taurine",high
"synthetic fragrance,fragrance,nitrites,glycerin,coal tar,parabens",high
"fructose,sulfites",low
"fragrance,water,sucralose",low
"oats,fructose,sucralose",low
"sunset yellow,phosphoric acid,artificial color,msg,sodium laureth sulfate,glucose syrup",high
"vegetable oil,titanium dioxide,monosodium glutamate,msg,oats,milk",medium
"sunset yellow,sodium laureth sulfate,sodium benzoate,artificial flavour,sodium",high
"zinc oxide,mineral oil,oxybenzone,methylparaben",medium
"sls,fragrance,methylparaben,oxybenzone,flavour,acetic acid",high
"salt,benzene,sodium,fructose,synthetic fragrance",high
"maltose,acesulfame k,octinoxate",medium
"salt,water,benzene,fragrance,sodium laureth sulfate",high
"fructose,palm oil,synthetic fragrance,methylparaben,milk",high
"oats,sucralose,glucose,potassium sorbate,artificial flavour",high
"msg,water,sugar,sunset yellow",medium
"acetic acid,sodium lauryl sulfate,hydrogenated oil",medium
"propylparaben,hydrogenated oil,potassium sorbate,zinc oxide,sugar,phthalates",high
"caffeine,flavour,tartrazine",medium
"citric acid,glucose,phthalates,milk",medium
"taurine,msg,oxybenzone,octinoxate",high
"sodium laureth sulfate,salt,formaldehyde,hyaluronic acid,synthetic fragrance",high
"acesulfame k,caramel color,phosphoric acid,milk,oats,zinc oxide",high
"artificial flavour,sugar,aspartame,titanium dioxide,msg,monosodium glutamate",high
"hyaluronic acid,sodium lauryl sulfate",low
"sls,zinc oxide",low
"taurine,sodium benzoate,acetic acid,coal tar,sls,sodium lauryl sulfate",high
"sodium benzoate,high fructose corn syrup",medium
"sulfites,cocoa,avobenzone,saturated fat,oats,methylparaben",high
"phthalates,coal tar,vegetable oil,fructose",high
"trans fat,high fructose corn syrup,nitrites,potassium sorbate,octinoxate,tartrazine",high
"vegetable oil,mineral oil,sucralose,hyaluronic acid,phosphoric acid,phthalates",high
"hyaluronic acid,phthalates,nitrites,sodium,saturated fat,taurine",high
"sunset yellow,nitrites,citric acid,trans fat",high
"acetic acid,potassium sorbate",low
"synthetic fragrance,mineral oil,sucralose,propylparaben,artificial flavour",high
"phosphoric acid,taurine,water,caramel color",medium
"alcohol,benzene",low
"sls,artificial color,oats,fragrance",medium
"flavour,formaldehyde,high fructose corn syrup,monosodium glutamate,refined oil",high
"oxybenzone,sunset yellow",medium
"sulfites,oxybenzone,maltose,oats,coal tar,taurine",high
"high fructose corn syrup,wheat flour,carbon dioxide,benzene,hyaluronic acid",high
"sodium benzoate,synthetic fragrance,aspartame,oxybenzone,sodium,flavour",high
"oxybenzone,maltose",low
"synthetic fragrance,phosphoric acid,avobenzone,propylparaben",medium
"trans fat,coal tar",medium
"monosodium glutamate,taurine,cocoa",low
"caramel color,mineral oil,caffeine,oats,palm oil",medium
"phosphoric acid,avobenzone",low
"methylparaben,fragrance,sunset yellow",medium
"wheat flour,phthalates,fragrance,caffeine,formaldehyde,carbon dioxide",high
"flavour,sodium benzoate,high fructose corn syrup,mineral oil,phthalates",high
"formaldehyde,sunset yellow",medium
"octinoxate,sodium lauryl sulfate,phthalates,palm oil,maltose,mineral oil",high
"vegetable oil,sodium,high fructose corn syrup,phosphoric acid,glucose,sodium laureth sulfate",high
"glucose syrup,alcohol",low
"carbon dioxide,formaldehyde,synthetic fragrance,parabens,flavour,oats",high
"fragrance,citric acid,aspartame,salt",medium
"cocoa,zinc oxide,methylparaben",low
"cocoa,citric acid",low
"glucose,vegetable oil,hyaluronic acid,sodium lauryl sulfate,caffeine",high
"sodium,tartrazine,fructose",medium
